"","CODIGO","Frutos","Productividad","IFW","date","Treatment","Island","Species","HMAX"
"95",5383,10,1.141,0.1141,2016-10-11,"Groasis","Floreana","Solanum lycopersicum",103
"96",5387,3,0.301,0.100333333333333,2016-10-11,"Groasis","Floreana","Solanum lycopersicum",83
"97",5389,4,0.434,0.1085,2016-04-12,"Groasis","Floreana","Solanum lycopersicum",97
"98",5390,3,0.323,0.107666666666667,2016-10-11,"Groasis","Floreana","Solanum lycopersicum",107
"99",5391,1,0.043,0.043,2016-10-11,"Groasis","Floreana","Solanum lycopersicum",105
"100",5392,2,0.149,0.0745,2016-10-11,"Groasis","Floreana","Solanum lycopersicum",96
"101",5393,7,0.301,0.043,2016-10-11,"Control","Floreana","Solanum lycopersicum",10
"102",5397,8,0.358,0.04475,2016-10-11,"Control","Floreana","Solanum lycopersicum",92
"103",5398,1,0.198,0.198,2016-10-11,"Groasis","Floreana","Cucumis sativus",57
"104",5399,3,0.49,0.163333333333333,2016-10-11,"Groasis","Floreana","Cucumis sativus",200
"105",5402,2,0.427,0.2135,2016-10-11,"Groasis","Floreana","Cucumis sativus",200
"106",5404,1,0.229,0.229,2016-10-11,"Groasis","Floreana","Cucumis sativus",150
"107",5408,1,0.152,0.152,2016-10-11,"Groasis","Floreana","Cucumis sativus",100
"108",5410,1,0.142,0.142,2016-10-11,"Groasis","Floreana","Cucumis sativus",NA
"109",5411,1,0.13,0.13,2016-10-11,"Groasis","Floreana","Cucumis sativus",130
"110",5412,1,0.252,0.252,2016-10-11,"Groasis","Floreana","Cucumis sativus",150
"111",5415,1,0.123,0.123,2016-10-11,"Groasis","Floreana","Cucumis sativus",170
"112",5417,2,0.146,0.073,2016-10-11,"Control","Floreana","Cucumis sativus",180
"113",5418,4,0.221,0.05525,2016-10-11,"Control","Floreana","Cucumis sativus",7
"114",5419,2,0.101,0.0505,2016-10-11,"Control","Floreana","Cucumis sativus",10
"115",5420,6,0.282,0.047,2016-10-11,"Control","Floreana","Cucumis sativus",130
"116",5421,3,0.106,0.0353333333333333,2016-10-11,"Control","Floreana","Cucumis sativus",190
"117",5422,2,0.105,0.0525,2016-10-11,"Control","Floreana","Cucumis sativus",53
"118",6016,4,0.403,0.10075,2017-07-21,"Groasis","Santa Cruz","Capsicum annuum",150
"119",6031,61,3.4,0.0557377049180328,2016-10-17,"Control","Santa Cruz","Solanum lycopersicum",44.8
"120",6032,58,3.342,0.0576206896551724,2016-10-17,"Control","Santa Cruz","Solanum lycopersicum",44.8
"121",6033,69,3.647,0.0528550724637681,2016-11-08,"Control","Santa Cruz","Solanum lycopersicum",44.8
"122",6034,63,3.271,0.0519206349206349,2016-10-17,"Control","Santa Cruz","Solanum lycopersicum",44.8
"123",6035,57,3.083,0.0540877192982456,2016-11-08,"Control","Santa Cruz","Solanum lycopersicum",44.8
"124",6036,10,0.534,0.0534,2016-09-22,"Control","Santa Cruz","Capsicum annuum",43
"125",6037,12,0.722,0.0601666666666667,2016-09-20,"Control","Santa Cruz","Capsicum annuum",43
"126",6038,27,1.747,0.0647037037037037,2016-09-22,"Control","Santa Cruz","Capsicum annuum",43
"127",6039,30,1.877,0.0625666666666667,2016-11-08,"Control","Santa Cruz","Capsicum annuum",43
"128",6040,2,0.101,0.0505,2016-09-20,"Control","Santa Cruz","Solanum lycopersicum",23.6
"129",6041,1,0.069,0.069,2016-09-20,"Control","Santa Cruz","Solanum lycopersicum",23.6
"130",6042,5,0.28,0.056,2016-09-20,"Control","Santa Cruz","Solanum lycopersicum",23.6
"131",6069,22,2.405,0.109318181818182,2017-10-13,"Groasis","Santa Cruz","Capsicum annuum",208
"132",6070,27,2.706,0.100222222222222,2017-09-22,"Groasis","Santa Cruz","Capsicum annuum",215
"133",6071,8,0.701,0.087625,2017-10-13,"Groasis","Santa Cruz","Capsicum annuum",178
"134",6072,20,1.9846,0.09923,2017-09-22,"Groasis","Santa Cruz","Capsicum annuum",218
"135",6073,10,1.112,0.1112,2017-08-18,"Groasis","Santa Cruz","Capsicum annuum",224
"136",6074,44,3.903,0.0887045454545455,2017-10-13,"Groasis","Santa Cruz","Capsicum annuum",225
"137",6075,32,3.539,0.11059375,2017-10-13,"Groasis","Santa Cruz","Capsicum annuum",250
"138",6076,16,1.699,0.1061875,2017-10-13,"Groasis","Santa Cruz","Capsicum annuum",251
"139",6077,38,4.059,0.106815789473684,2017-09-22,"Groasis","Santa Cruz","Capsicum annuum",225
"140",6078,2,0.16,0.08,2017-05-24,"Groasis","Santa Cruz","Capsicum annuum",80
"141",6079,9,1.631,0.181222222222222,2017-09-22,"Groasis","Santa Cruz","Capsicum annuum",210
"142",6080,23,2.169,0.094304347826087,2017-10-13,"Groasis","Santa Cruz","Capsicum annuum",228
"143",6081,9,0.814,0.0904444444444444,2017-09-22,"Groasis","Santa Cruz","Capsicum annuum",215
"144",6082,47,4.892,0.104085106382979,2017-10-13,"Groasis","Santa Cruz","Capsicum annuum",275
"145",6086,61,6.8756,0.112714754098361,2017-10-13,"Control","Santa Cruz","Capsicum annuum",260
"146",6088,43,4.876,0.113395348837209,2017-09-22,"Control","Santa Cruz","Capsicum annuum",246
"147",6089,33,3.733,0.113121212121212,2017-10-13,"Control","Santa Cruz","Capsicum annuum",260
"148",6090,38,4.173,0.109815789473684,2017-10-13,"Control","Santa Cruz","Capsicum annuum",265
"149",6090,38,4.173,0.109815789473684,2017-10-13,"Groasis","Santa Cruz","Capsicum annuum",265
"150",6091,28,3.087,0.11025,2017-10-13,"Control","Santa Cruz","Capsicum annuum",254
"151",6092,45,4.584,0.101866666666667,2017-09-22,"Control","Santa Cruz","Capsicum annuum",254
"152",6093,28,2.824,0.100857142857143,2017-09-22,"Control","Santa Cruz","Capsicum annuum",255
"153",6094,38,4.699,0.123657894736842,2017-09-22,"Control","Santa Cruz","Capsicum annuum",254
